104_img_: PSNR=18.199862824065494 SSIM=0.8515349428483316 UIQM=0.6872140329982237 UCIQE=0.5909076801280314
30_img_: PSNR=16.58178208262994 SSIM=0.714122828596149 UIQM=1.2296359491698274 UCIQE=0.6429863234441309
311_img_: PSNR=22.57332804694964 SSIM=0.6611214311533464 UIQM=0.8638176636736421 UCIQE=0.55427010974814
312_img_: PSNR=19.974334081084912 SSIM=0.6861722608106731 UIQM=1.1734845726950656 UCIQE=0.648000947473304
313_img_: PSNR=17.726793058842492 SSIM=0.6320967056755686 UIQM=1.1452083778517945 UCIQE=0.5841735151598392
314_img_: PSNR=18.379136635001792 SSIM=0.7286743607287244 UIQM=1.0200133042641675 UCIQE=0.5750486322019763
315_img_: PSNR=18.372569058401016 SSIM=0.6141751548581311 UIQM=1.2792500474245436 UCIQE=0.5871823478880145
316_img_: PSNR=17.213832644152582 SSIM=0.6138576601106 UIQM=1.1887440560431122 UCIQE=0.6391600091971777
317_img_: PSNR=17.159762240133688 SSIM=0.7576084653215232 UIQM=1.1461485719529547 UCIQE=0.6133343567802103
318_img_: PSNR=19.335014891289248 SSIM=0.7519754185106984 UIQM=1.1048311363339227 UCIQE=0.621430411208914
319_img_: PSNR=19.082519269513753 SSIM=0.7434184076197274 UIQM=1.008041373176744 UCIQE=0.5811476684010931
320_img_: PSNR=20.339442326817007 SSIM=0.841648822792735 UIQM=1.135895086075092 UCIQE=0.614758012674241
322_img_: PSNR=20.748921687770817 SSIM=0.7237656710788056 UIQM=1.0579661971011478 UCIQE=0.6091410155904355
323_img_: PSNR=15.623828869668074 SSIM=0.5748565011072414 UIQM=0.8539156163047383 UCIQE=0.5529758784850631
324_img_: PSNR=18.305772146683918 SSIM=0.7588877987918903 UIQM=1.0782615920960181 UCIQE=0.5975233586506251
325_img_: PSNR=18.855085144158004 SSIM=0.6910351816590434 UIQM=1.2098549407405805 UCIQE=0.6268254840891131
326_img_: PSNR=20.346968477629787 SSIM=0.8361781596141347 UIQM=1.1075382512394694 UCIQE=0.6358034265332118
327_img_: PSNR=18.261300355568245 SSIM=0.6602675874956305 UIQM=0.9383845944355992 UCIQE=0.6333800364873501
330_img_: PSNR=18.147219532083646 SSIM=0.6019124064388672 UIQM=0.8940506475159706 UCIQE=0.5752199773859328
332_img_: PSNR=18.92832125531079 SSIM=0.5436370501892227 UIQM=0.9531160391121296 UCIQE=0.5539687007978694
334_img_: PSNR=21.654829729259063 SSIM=0.728157947527105 UIQM=1.2781771303532512 UCIQE=0.6178504797274732
336_img_: PSNR=19.096122610007168 SSIM=0.6895299474605304 UIQM=1.1175907615217615 UCIQE=0.6614438893159895
337_img_: PSNR=16.046891704033275 SSIM=0.5434680914225964 UIQM=1.0688136678504367 UCIQE=0.5767106775255526
338_img_: PSNR=19.974857553793758 SSIM=0.6334122797767199 UIQM=0.5067284144006596 UCIQE=0.5711776053102035
340_img_: PSNR=18.964339027125725 SSIM=0.7385928234474064 UIQM=0.9553530398738688 UCIQE=0.6243425208119819
341_img_: PSNR=18.40695966126148 SSIM=0.6990567669984455 UIQM=1.0791759368458296 UCIQE=0.5931231854164876
342_img_: PSNR=19.300339996585436 SSIM=0.4531574136730835 UIQM=1.1804287559115092 UCIQE=0.5318797357722708
343_img_: PSNR=21.447673878519886 SSIM=0.669784818533393 UIQM=1.09878102219532 UCIQE=0.5792966355518553
346_img_: PSNR=19.16393394550187 SSIM=0.6317756789331107 UIQM=1.0788282851773208 UCIQE=0.6224305509705812
347_img_: PSNR=18.33333204272031 SSIM=0.44366472477407315 UIQM=1.0932335695333095 UCIQE=0.6163155133298022
348_img_: PSNR=18.059883070717003 SSIM=0.5806585104834593 UIQM=1.0485771548317837 UCIQE=0.5742281464497905
350_img_: PSNR=20.036869475898587 SSIM=0.7083338529636962 UIQM=1.1827434922895237 UCIQE=0.6095130869963884
351_img_: PSNR=20.113611807427056 SSIM=0.7563962760782924 UIQM=1.131849610219327 UCIQE=0.589258689274989
353_img_: PSNR=15.582430697012388 SSIM=0.4651788289937787 UIQM=1.105342051233188 UCIQE=0.5578135718653712
355_img_: PSNR=20.647439699887883 SSIM=0.7138280285439731 UIQM=1.0466353247170492 UCIQE=0.5526212174761759
356_img_: PSNR=17.66922089676331 SSIM=0.7377523630241161 UIQM=1.1479525566855546 UCIQE=0.624342078866436
359_img_: PSNR=16.702410602751396 SSIM=0.7585842945479451 UIQM=0.8504885688300591 UCIQE=0.6160244184990958
360_img_: PSNR=17.26984353642968 SSIM=0.6382535524205089 UIQM=0.7704517194547675 UCIQE=0.5906951847706977
361_img_: PSNR=20.106038408739547 SSIM=0.6335627373575049 UIQM=0.8330089673341994 UCIQE=0.5746812362602649
362_img_: PSNR=15.18477786273061 SSIM=0.5447926296512399 UIQM=1.035434263014067 UCIQE=0.5895364237769355
363_img_: PSNR=15.729916494256218 SSIM=0.6497046082517173 UIQM=0.8717887993542042 UCIQE=0.5581717834517836
364_img_: PSNR=16.476496438724098 SSIM=0.7201441420076263 UIQM=0.6137289073490622 UCIQE=0.6164074409986753
366_img_: PSNR=19.242818175557343 SSIM=0.7324553082306986 UIQM=1.009533323619379 UCIQE=0.6223908142412049
367_img_: PSNR=17.05215702445226 SSIM=0.6355017175852469 UIQM=1.1190416972489396 UCIQE=0.6068060917299428
3_img_: PSNR=18.127346564380677 SSIM=0.6400327625114177 UIQM=0.8886145983155511 UCIQE=0.6267214258257672
4: PSNR=20.10117091102031 SSIM=0.6509160119785476 UIQM=1.0420548902781315 UCIQE=0.6497903208207019
406_img_: PSNR=15.928305128834971 SSIM=0.7058058749183844 UIQM=0.9662588647938557 UCIQE=0.6041967873826635
419_img_: PSNR=15.546400883084686 SSIM=0.6732919661127947 UIQM=0.7835586589726635 UCIQE=0.5805748077284554
41_img_: PSNR=16.790278927896228 SSIM=0.46608289409222536 UIQM=1.1604220705824144 UCIQE=0.5908038485904351
421_img_: PSNR=16.551519759069457 SSIM=0.6275822355845597 UIQM=1.030897732917551 UCIQE=0.6244322503948635
460_img_: PSNR=17.325498026304974 SSIM=0.723460938885779 UIQM=1.0009675862163636 UCIQE=0.6458450914026624
466_img_: PSNR=18.531572559081074 SSIM=0.814647824115341 UIQM=0.9985274937545637 UCIQE=0.6111021975682653
471_img_: PSNR=15.860487427013197 SSIM=0.3840057276052502 UIQM=0.9891329663977588 UCIQE=0.49104018258230353
472_img_: PSNR=19.55329500257095 SSIM=0.27570404525092207 UIQM=1.0700720464670432 UCIQE=0.5076481569620251
476_img_: PSNR=18.54826848038286 SSIM=0.5708240364997224 UIQM=1.0943435890044915 UCIQE=0.5484485592771128
48_img_: PSNR=21.632793202683317 SSIM=0.7830262117447642 UIQM=0.8006914159920823 UCIQE=0.6151975936453208
495_img_: PSNR=20.00624729582002 SSIM=0.6571179925432928 UIQM=0.7140197588236805 UCIQE=0.5398116123049205
4_img_: PSNR=18.32219344704638 SSIM=0.5707155701273902 UIQM=1.2455734656315514 UCIQE=0.5793903658120076
550_img_: PSNR=18.154093992164377 SSIM=0.5850640741617151 UIQM=1.1792484482108876 UCIQE=0.5656797093754538
557: PSNR=16.89388496879714 SSIM=0.5865274775717713 UIQM=1.3022885958569423 UCIQE=0.5582643528229627
55_img_: PSNR=19.28204175239348 SSIM=0.6005998214929548 UIQM=1.0474036833083369 UCIQE=0.552057745359806
61_img_: PSNR=17.451550164575558 SSIM=0.7293998646794878 UIQM=1.167316945625551 UCIQE=0.6205263186869115
629_img_: PSNR=20.001679183856695 SSIM=0.5566476167024745 UIQM=1.090413107244478 UCIQE=0.5321391236784578
70_img_: PSNR=17.29843541682286 SSIM=0.44055343725274443 UIQM=1.1270945164712092 UCIQE=0.5256114442623481
747_img_: PSNR=17.244722384422065 SSIM=0.5912425002272064 UIQM=1.0707988732365685 UCIQE=0.559552631256172
7_img_: PSNR=16.17347482781287 SSIM=0.6529649871263216 UIQM=1.0083883301952998 UCIQE=0.5578671242313862
849_img_: PSNR=16.53684162840257 SSIM=0.7607418676915538 UIQM=1.215228195435381 UCIQE=0.6715911263585128
856_img_: PSNR=15.43752807318077 SSIM=0.43518229957057497 UIQM=1.1748163875818047 UCIQE=0.635013289724768
8_img_: PSNR=18.54018760893991 SSIM=0.5788566404017729 UIQM=0.9125678894398832 UCIQE=0.5786836536915063
901_img_: PSNR=15.965717924543535 SSIM=0.5910982362445953 UIQM=0.5936110581131877 UCIQE=0.5202450743455862
906_img_: PSNR=18.225047085682885 SSIM=0.5378659323215265 UIQM=0.9803847030521051 UCIQE=0.5204193172177993
97_img_: PSNR=17.323097996336045 SSIM=0.5581926619322106 UIQM=1.2289289318077237 UCIQE=0.5448197744685362
9_img_: PSNR=15.915000719768404 SSIM=0.6995004975252699 UIQM=0.8728130785352808 UCIQE=0.5706134298000973

Average: PSNR=17.919793450129195 SSIM=0.6199899101209283 UIQM=1.034636175119551 UCIQE=0.5881043689664907

