104_img_: PSNR=16.60786223511146 SSIM=0.6546968965679691 UIQM=0.9225874482206409 UCIQE=0.5272529320090786
341_img_: PSNR=16.76230145299394 SSIM=0.5838979579376902 UIQM=1.2180057524969545 UCIQE=0.553017289726588
342_img_: PSNR=18.089556225204625 SSIM=0.2595904978732211 UIQM=1.2918702174061185 UCIQE=0.49473837792871345
343_img_: PSNR=19.05183573487382 SSIM=0.6040390886141147 UIQM=1.1858279824426088 UCIQE=0.5551067701748875
346_img_: PSNR=16.33111015708931 SSIM=0.5150197457099901 UIQM=1.1816110528312156 UCIQE=0.5779167535921506
347_img_: PSNR=16.88786571575133 SSIM=0.45314156415697127 UIQM=1.0023161127843188 UCIQE=0.5530209843811144
348_img_: PSNR=16.915264088859242 SSIM=0.45085494255802844 UIQM=1.1043330919483778 UCIQE=0.5331621381501447
350_img_: PSNR=17.323666774309533 SSIM=0.38766287402935556 UIQM=1.1975504204160556 UCIQE=0.5534209048046146
351_img_: PSNR=16.450412725765577 SSIM=0.5252382930496611 UIQM=1.2226300424626988 UCIQE=0.5482817823144397
353_img_: PSNR=15.383795586442812 SSIM=0.4200050569882123 UIQM=1.179826939828427 UCIQE=0.5335710222332933
355_img_: PSNR=17.267537451692704 SSIM=0.48652711585168096 UIQM=1.192157466075812 UCIQE=0.517004835158576
356_img_: PSNR=15.474824160953656 SSIM=0.47798396863638465 UIQM=1.143005435492683 UCIQE=0.5482698706992741
359_img_: PSNR=12.92366568123885 SSIM=0.4651384657834261 UIQM=1.10302179272291 UCIQE=0.551739129487154
360_img_: PSNR=15.462742219180987 SSIM=0.5116362790467869 UIQM=1.1299491495689802 UCIQE=0.5488229041358178
361_img_: PSNR=16.93240925881286 SSIM=0.43837628072614593 UIQM=0.9293401162981083 UCIQE=0.5235537392290256
362_img_: PSNR=11.297337407382575 SSIM=0.3360065098468935 UIQM=1.2921727128020681 UCIQE=0.5435039030577546
363_img_: PSNR=10.5611142970399 SSIM=0.35266904266642485 UIQM=1.4320920340107022 UCIQE=0.5475201202085072
364_img_: PSNR=13.047516317067576 SSIM=0.575456405730056 UIQM=1.063029050038242 UCIQE=0.5575816707070338
366_img_: PSNR=15.495684040622713 SSIM=0.518422906442747 UIQM=1.2936298640654917 UCIQE=0.5816931035260289
367_img_: PSNR=16.844103107415226 SSIM=0.44434122485482014 UIQM=1.0597147448493005 UCIQE=0.565337301104877
3_img_: PSNR=17.14181773995022 SSIM=0.5521729931934961 UIQM=1.0509095766433068 UCIQE=0.5739957645805682
4: PSNR=16.613815832583718 SSIM=0.49412294751307506 UIQM=1.1902483632485157 UCIQE=0.6121334686731124
406_img_: PSNR=12.50590411455564 SSIM=0.1992830878874398 UIQM=1.131962471407316 UCIQE=0.5313526017436155
419_img_: PSNR=15.10835871185738 SSIM=0.6369016325346184 UIQM=0.974300717890765 UCIQE=0.531228968571437
41_img_: PSNR=17.27712220881132 SSIM=0.480392463237033 UIQM=1.0430903130009395 UCIQE=0.5446221452558399
421_img_: PSNR=12.835419661565375 SSIM=0.42310933612459645 UIQM=1.2649947063120635 UCIQE=0.5827502159363278
460_img_: PSNR=17.07831186158967 SSIM=0.6175576468530974 UIQM=1.0403353737259733 UCIQE=0.5874935021531998
466_img_: PSNR=15.638535147374073 SSIM=0.479806158921317 UIQM=1.1960320881615094 UCIQE=0.5533040888912877
471_img_: PSNR=14.148577242326084 SSIM=0.32485047978335657 UIQM=1.33210478369112 UCIQE=0.48871123001209876
472_img_: PSNR=16.56810358392908 SSIM=0.14801244795497742 UIQM=1.1498045922077755 UCIQE=0.5149447474297193
476_img_: PSNR=16.76973941102552 SSIM=0.4285495580020541 UIQM=1.1397703119215499 UCIQE=0.5351221277850304
48_img_: PSNR=17.778860002310505 SSIM=0.4900413415567305 UIQM=1.0919459433081737 UCIQE=0.5722387969580548
495_img_: PSNR=18.674111219816325 SSIM=0.5322989550771581 UIQM=0.8287468654382344 UCIQE=0.5234322992824545
4_img_: PSNR=17.25507844217403 SSIM=0.45136027889114105 UIQM=1.40477861165781 UCIQE=0.5675392823517964
550_img_: PSNR=17.267904776186178 SSIM=0.3820203262003852 UIQM=1.192536880099818 UCIQE=0.5077994178590618
557: PSNR=13.885711909336084 SSIM=0.39617324116855285 UIQM=1.262468184046365 UCIQE=0.5285889914722475
55_img_: PSNR=17.416790705744855 SSIM=0.45639756939168974 UIQM=1.2343890902826908 UCIQE=0.5340319774489789
61_img_: PSNR=15.370371273031244 SSIM=0.49216757453941773 UIQM=1.1369622829465653 UCIQE=0.5467611026041761
629_img_: PSNR=18.102256968543966 SSIM=0.43771540874951764 UIQM=1.0903279603005551 UCIQE=0.5341507739063103
70_img_: PSNR=15.071512251943327 SSIM=0.37784508841812525 UIQM=1.202850012366043 UCIQE=0.4952673014344375
747_img_: PSNR=15.796791088005682 SSIM=0.594870464857578 UIQM=0.8368629789305806 UCIQE=0.5117338022330808
7_img_: PSNR=18.165208585317117 SSIM=0.5586014490764203 UIQM=1.1285335029565216 UCIQE=0.5240946110964659
849_img_: PSNR=17.060669239875697 SSIM=0.5827842909615171 UIQM=1.2117088272122944 UCIQE=0.6185660342152891
856_img_: PSNR=16.9843158884836 SSIM=0.4208038288470055 UIQM=1.1617649777190868 UCIQE=0.5705790152743327
8_img_: PSNR=16.48672652800181 SSIM=0.39610990926577927 UIQM=1.0921901896560227 UCIQE=0.5388221457288278
901_img_: PSNR=16.457126352497376 SSIM=0.4155864516829904 UIQM=0.7993818467439144 UCIQE=0.5118609721156562
906_img_: PSNR=16.285405472699463 SSIM=0.4033505657636987 UIQM=0.9498319449131669 UCIQE=0.5658996153529917
97_img_: PSNR=15.134609030484418 SSIM=0.3266605385076634 UIQM=1.1678325733844532 UCIQE=0.5248404052656122
9_img_: PSNR=14.547448843742751 SSIM=0.5814374652407948 UIQM=1.151885252291022 UCIQE=0.5374488477461656

Average: PSNR=16.179531241796823 SSIM=0.47678388120589893 UIQM=1.1218413554184625 UCIQE=0.5490958373596477

