12433.png: NIQE=34.271769994858104  with dealing time: 83.16721391677856
n01496331_2044.png: NIQE=52.96613045179775  with dealing time: 69.8759560585022
n01914609_1112.png: NIQE=47.85965717000294  with dealing time: 71.66423988342285
n01914609_11380.png: NIQE=33.730519789212394  with dealing time: 77.20504593849182
n01914609_13222.png: NIQE=35.8911039253827  with dealing time: 74.90815353393555
n01914609_13909.png: NIQE=41.030672750257004  with dealing time: 73.93997955322266
n01914609_1437.png: NIQE=47.73677097509739  with dealing time: 70.48267126083374
n01914609_1980.png: NIQE=46.15488205278767  with dealing time: 67.23647499084473
n01914609_2054.png: NIQE=45.830869856254395  with dealing time: 66.42667078971863
n01914609_7919.png: NIQE=46.82250690403874  with dealing time: 65.98035883903503
n02607072_2382.png: NIQE=50.59745238684741  with dealing time: 69.66526913642883
n02607072_5845.png: NIQE=37.62329248206736  with dealing time: 72.86878895759583
n02607072_931.png: NIQE=43.644749598715364  with dealing time: 69.98238921165466
NF_1.png: NIQE=53.067369045814196  with dealing time: 68.88052797317505
NF_10.png: NIQE=57.994203864993864  with dealing time: 71.74717807769775
NF_100.png: NIQE=45.5251422339876  with dealing time: 66.88665747642517
NF_110.png: NIQE=43.248818782026156  with dealing time: 72.36475348472595
NF_116.png: NIQE=47.52729456442808  with dealing time: 67.39765048027039
NF_123.png: NIQE=78.7472541538995  with dealing time: 68.36502170562744
NF_124.png: NIQE=44.57156016855929  with dealing time: 65.56090688705444
NF_13.png: NIQE=80.03441928755544  with dealing time: 49.903533697128296
NF_14.png: NIQE=63.71100190851852  with dealing time: 54.577202558517456
NF_141.png: NIQE=42.508438443725666  with dealing time: 58.319791316986084
NF_147.png: NIQE=61.70928140351634  with dealing time: 54.885385036468506
NF_148.png: NIQE=55.7150078774796  with dealing time: 60.23270392417908
NF_166.png: NIQE=47.186468411545896  with dealing time: 56.224937200546265
NF_171.png: NIQE=36.888217829129644  with dealing time: 59.159629344940186
NF_172.png: NIQE=39.05431534138256  with dealing time: 53.720452547073364
NF_174.png: NIQE=37.69746194417131  with dealing time: 58.46808314323425
NF_177.png: NIQE=52.12219509139487  with dealing time: 67.26243829727173
NF_194.png: NIQE=95.68308067718294  with dealing time: 74.45844101905823
NF_195.png: NIQE=52.739609023244924  with dealing time: 66.07182264328003
NF_2.png: NIQE=54.69483097773464  with dealing time: 71.51369047164917
NF_201.png: NIQE=40.935021668535654  with dealing time: 65.24474263191223
NF_209.png: NIQE=36.92613957539322  with dealing time: 59.47988295555115
NF_213.png: NIQE=46.426578006734566  with dealing time: 60.55396294593811
NF_215.png: NIQE=40.25561275415129  with dealing time: 61.476423501968384
NF_218.png: NIQE=45.48573887978327  with dealing time: 59.04277944564819
NF_231.png: NIQE=47.3140549176431  with dealing time: 61.878745317459106
NF_241.png: NIQE=40.555689707208224  with dealing time: 67.76637482643127
NF_242.png: NIQE=35.50710908186634  with dealing time: 67.74249744415283
NF_252.png: NIQE=38.84844995247518  with dealing time: 64.93098974227905
NF_26.png: NIQE=45.69436243051829  with dealing time: 54.15285086631775
NF_280.png: NIQE=50.16108633775563  with dealing time: 59.65036177635193
NF_285.png: NIQE=41.1530116347922  with dealing time: 60.34611630439758
NF_287.png: NIQE=47.935407995868566  with dealing time: 64.98997235298157
NF_313.png: NIQE=51.65678554828982  with dealing time: 66.2089569568634
NF_32.png: NIQE=48.14925539049236  with dealing time: 53.879812479019165
NF_363.png: NIQE=41.83756008059413  with dealing time: 56.183016777038574
NF_364.png: NIQE=39.61076783972793  with dealing time: 55.60717844963074
NF_387.png: NIQE=38.82529940806041  with dealing time: 59.31879448890686
NF_410.png: NIQE=37.64938375277807  with dealing time: 59.74211859703064
NF_417.png: NIQE=45.39346187593657  with dealing time: 58.260587215423584
NF_466.png: NIQE=43.52798260453345  with dealing time: 60.896573543548584
NF_470.png: NIQE=41.849220678527026  with dealing time: 60.62189531326294
NF_507.png: NIQE=45.28308577641362  with dealing time: 61.00142693519592
NF_512.png: NIQE=40.923912195280145  with dealing time: 61.12152814865112
NF_518.png: NIQE=50.150159985544  with dealing time: 59.98213577270508
NF_52.png: NIQE=48.15310979443998  with dealing time: 67.93357706069946
NF_56.png: NIQE=40.714347546458946  with dealing time: 63.31239676475525
NF_57.png: NIQE=42.790558039060606  with dealing time: 66.79103827476501
NF_60.png: NIQE=41.385492484404885  with dealing time: 64.54347229003906
NF_69.png: NIQE=50.224902088566004  with dealing time: 61.513957500457764
NF_7.png: NIQE=47.20279642476958  with dealing time: 58.12545680999756
NF_70.png: NIQE=51.39896438888948  with dealing time: 59.719053506851196
NF_75.png: NIQE=40.31626069487734  with dealing time: 57.51618766784668
NF_78.png: NIQE=60.223981891340536  with dealing time: 60.22674226760864
NF_8.png: NIQE=46.08757443307034  with dealing time: 58.968589067459106
NF_81.png: NIQE=43.61263391487867  with dealing time: 62.69690537452698
NF_85.png: NIQE=38.267033287049806  with dealing time: 59.60336995124817
NF_94.png: NIQE=50.5487002204445  with dealing time: 58.107351541519165
NF_95.png: NIQE=58.29374305221073  with dealing time: 53.19772720336914

110 Image Average: NIQE=46.82435190363465, TimePerImage=66.99773089668967, SumTime = 7369.750398635864s

