E_012.jpg: NIQE=50.5292432945029  with dealing time: 45.861711740493774
E_026.jpg: NIQE=71.53756970180761  with dealing time: 46.70140552520752
E_053.jpg: NIQE=37.659616441030295  with dealing time: 44.42694425582886
E_088.jpg: NIQE=53.129487629682046  with dealing time: 44.2953405380249
E_110.jpg: NIQE=60.485729969878584  with dealing time: 44.60875415802002
E_151.jpg: NIQE=46.96238393386879  with dealing time: 45.221152782440186
E_159.jpg: NIQE=48.55479171531625  with dealing time: 47.03474497795105
E_187.jpg: NIQE=42.17213087380789  with dealing time: 46.82520270347595
E_208.jpg: NIQE=44.29949773147402  with dealing time: 46.14450025558472
E_249.jpg: NIQE=50.43564379146347  with dealing time: 44.852264642715454
E_263.jpg: NIQE=33.60636259222907  with dealing time: 44.74682331085205
E_285.jpg: NIQE=47.60322763336249  with dealing time: 44.29285740852356
E_306.jpg: NIQE=59.28844496990246  with dealing time: 45.37983512878418
E_347.jpg: NIQE=42.200513551766925  with dealing time: 46.566321849823
E_361.jpg: NIQE=43.03610518578951  with dealing time: 45.074368715286255
E_383.jpg: NIQE=44.538229078546195  with dealing time: 45.80199933052063
E_404.jpg: NIQE=60.34370482765222  with dealing time: 45.16615581512451
E_445.jpg: NIQE=51.21284605516918  with dealing time: 45.83298087120056
E_459.jpg: NIQE=45.049476334086535  with dealing time: 45.194087982177734
E_494.jpg: NIQE=70.41243684629032  with dealing time: 47.39082384109497
E_502.jpg: NIQE=43.049768521416304  with dealing time: 44.50106644630432
E_551.jpg: NIQE=61.81099064033483  with dealing time: 43.45095348358154
E_592.jpg: NIQE=51.37964311533251  with dealing time: 45.36590623855591
E_606.jpg: NIQE=68.14934432335164  with dealing time: 46.37228202819824
E_628.jpg: NIQE=67.09866227398861  with dealing time: 44.786338567733765
E_649.jpg: NIQE=68.90939357619665  with dealing time: 43.760295391082764
E_663.jpg: NIQE=53.636009363141675  with dealing time: 46.49155378341675
E_690.jpg: NIQE=63.54355478189871  with dealing time: 45.78735876083374
E_704.jpg: NIQE=71.55769028789187  with dealing time: 44.60505437850952
E_726.jpg: NIQE=59.979942675961006  with dealing time: 46.174888610839844

150 Image Average: NIQE=48.46944821214272, TimePerImage=60.431705452601115, SumTime = 9064.755817890167s

