41_out.jpg: uiqm=0.2687128778797875, uciqe=0.5614106322769606
42_out.jpg: uiqm=0.22996694723117295, uciqe=0.5134795310947178
43_out.jpg: uiqm=0.0862790053399024, uciqe=0.5246593426735575
44_out.jpg: uiqm=0.25477690416498744, uciqe=0.5590033366494468
45_out.jpg: uiqm=0.2692958933310078, uciqe=0.5568269612660521
46_out.jpg: uiqm=0.282324506066732, uciqe=0.5521815636231965
47_out.jpg: uiqm=0.2686497795845403, uciqe=0.5579292558069093
48_out.jpg: uiqm=0.08864930757685352, uciqe=0.5575980487323527
49_out.jpg: uiqm=0.3190326469766821, uciqe=0.5626407187542879
4_out.jpg: uiqm=0.5270651278740168, uciqe=0.5126740299738458
50_out.jpg: uiqm=0.3495245897049345, uciqe=0.5659278449755826
51_out.jpg: uiqm=0.31943644884670963, uciqe=0.4837414690860602
52_out.jpg: uiqm=0.13163293438499246, uciqe=0.5277414016565575
53_out.jpg: uiqm=0.3451273170879381, uciqe=0.4872492464566692
54_out.jpg: uiqm=0.12500835964793355, uciqe=0.5268240153247611
55_out.jpg: uiqm=0.17142501244916997, uciqe=0.5278149640971107
56_out.jpg: uiqm=0.16547565837611056, uciqe=0.5182235590180206
57_out.jpg: uiqm=0.13834134980737, uciqe=0.5223663603553115
58_out.jpg: uiqm=0.36747224629266206, uciqe=0.49923220253772305
59_out.jpg: uiqm=0.1769215005277821, uciqe=0.5269374370574373
5_out.jpg: uiqm=0.485862911363265, uciqe=0.506538054168189
60_out.jpg: uiqm=0.22165219554376026, uciqe=0.5573783318262788
61_out.jpg: uiqm=0.2214702578580413, uciqe=0.5616020676868312
62_out.jpg: uiqm=0.2860485811521598, uciqe=0.561921121009787
63_out.jpg: uiqm=0.30823704336520064, uciqe=0.5549154126592871
64_out.jpg: uiqm=0.44294034880152644, uciqe=0.570208174197183
65_out.jpg: uiqm=0.552411605895217, uciqe=0.5621705372353318
66_out.jpg: uiqm=0.3825727850616517, uciqe=0.5579970071138052
67_out.jpg: uiqm=0.03731901683120564, uciqe=0.5766739469075238
68_out.jpg: uiqm=0.3551701839274789, uciqe=0.5812293158154992
69_out.jpg: uiqm=0.33937995969699974, uciqe=0.5853829244011493
6_out.jpg: uiqm=0.4544984201418092, uciqe=0.5086312562018328
70_out.jpg: uiqm=0.2667747435999187, uciqe=0.5550119857277235
71_out.jpg: uiqm=0.2987406266642546, uciqe=0.559055898155005
72_out.jpg: uiqm=0.30292411546805176, uciqe=0.5580765998625797
73_out.jpg: uiqm=0.3022763732232172, uciqe=0.5581738781482619
74_out.jpg: uiqm=0.33763378661555954, uciqe=0.5620032957536136
75_out.jpg: uiqm=0.3036691371476876, uciqe=0.5561973741431023
76_out.jpg: uiqm=0.2578047653740213, uciqe=0.5578260767887235
77_out.jpg: uiqm=0.42462107900598856, uciqe=0.5634396672747688
78_out.jpg: uiqm=0.40838399350808563, uciqe=0.5618107062152362
79_out.jpg: uiqm=0.47325229649819023, uciqe=0.5981493602217137
7_out.jpg: uiqm=0.4575275477183427, uciqe=0.5059558152411697
80_out.jpg: uiqm=0.2888317158370961, uciqe=0.5421091822078392
81_out.jpg: uiqm=0.30267778225608066, uciqe=0.5495734205875367
82_out.jpg: uiqm=0.35617320993764856, uciqe=0.5476679017989434
83_out.jpg: uiqm=0.42811208121964717, uciqe=0.5544811148973016
84_out.jpg: uiqm=0.3851573563731927, uciqe=0.5644454575854216
85_out.jpg: uiqm=0.38734059648718133, uciqe=0.5653467363856601
86_out.jpg: uiqm=0.1943975216306043, uciqe=0.47780158758797964
87_out.jpg: uiqm=0.3246612994549609, uciqe=0.49828423584964676
88_out.jpg: uiqm=0.4012789961777228, uciqe=0.5778531842483063
89_out.jpg: uiqm=0.35420084430234, uciqe=0.5695806155018365
8_out.jpg: uiqm=0.3633881312705475, uciqe=0.4926116045373904
90_out.jpg: uiqm=0.6934581132036022, uciqe=0.5384947422498464
91_out.jpg: uiqm=0.7970859394102044, uciqe=0.5407526833343337
92_out.jpg: uiqm=0.7617744844216372, uciqe=0.5336265300016045
93_out.jpg: uiqm=0.8108347707628302, uciqe=0.5298709606454268
94_out.jpg: uiqm=0.7907679311393491, uciqe=0.5237517127783559
95_out.jpg: uiqm=0.8231018911917609, uciqe=0.5362699189650815
96_out.jpg: uiqm=0.8391415905500307, uciqe=0.5452842922417316
97_out.jpg: uiqm=0.8456813249429976, uciqe=0.5464508945388503
98_out.jpg: uiqm=0.691200990496634, uciqe=0.4813258013661919
99_out.jpg: uiqm=0.3127337271732784, uciqe=0.49548950169137995
9_out.jpg: uiqm=0.3990405528041685, uciqe=0.5571953660494363

Average: uiqm=0.43467158952742546, uciqe=0.5397066294045046

