43_out.jpg: NIQE=45.24071535303285  with dealing time: 46.42955493927002
44_out.jpg: NIQE=47.3430438210582  with dealing time: 46.73686075210571
45_out.jpg: NIQE=46.07618851363532  with dealing time: 46.22297477722168
46_out.jpg: NIQE=46.31400254296231  with dealing time: 47.55038833618164
47_out.jpg: NIQE=47.00871564817154  with dealing time: 48.30527305603027
48_out.jpg: NIQE=53.34642460329336  with dealing time: 50.42423343658447
49_out.jpg: NIQE=48.27276834039953  with dealing time: 48.906914472579956
4_out.jpg: NIQE=42.72557566836259  with dealing time: 46.174964427948
50_out.jpg: NIQE=48.362085642433456  with dealing time: 47.394814252853394
51_out.jpg: NIQE=50.68402282234075  with dealing time: 44.969138622283936
52_out.jpg: NIQE=47.87463009107923  with dealing time: 46.194610595703125
53_out.jpg: NIQE=52.045551536036584  with dealing time: 45.16722822189331
54_out.jpg: NIQE=45.59702070770805  with dealing time: 48.22708344459534
55_out.jpg: NIQE=44.637906459477016  with dealing time: 47.7753164768219
56_out.jpg: NIQE=48.99071691157198  with dealing time: 47.07795333862305
57_out.jpg: NIQE=46.51285312110914  with dealing time: 47.019609451293945
58_out.jpg: NIQE=48.33271768407016  with dealing time: 46.8333420753479
59_out.jpg: NIQE=44.80557899032108  with dealing time: 45.51112413406372
5_out.jpg: NIQE=44.909409548431434  with dealing time: 46.959073066711426
60_out.jpg: NIQE=43.20792647177648  with dealing time: 53.04596257209778
61_out.jpg: NIQE=51.005899974708235  with dealing time: 48.86118221282959
62_out.jpg: NIQE=44.121378604663754  with dealing time: 50.760268688201904
63_out.jpg: NIQE=53.24373139091575  with dealing time: 49.59399437904358
64_out.jpg: NIQE=49.21430037758001  with dealing time: 47.65142798423767
65_out.jpg: NIQE=46.11600103093136  with dealing time: 45.37489938735962
66_out.jpg: NIQE=44.963950363578164  with dealing time: 41.53453755378723
67_out.jpg: NIQE=43.01300933113309  with dealing time: 40.35301923751831
68_out.jpg: NIQE=45.510992997628236  with dealing time: 40.744170904159546
69_out.jpg: NIQE=43.46495640806984  with dealing time: 40.92144584655762
6_out.jpg: NIQE=43.02138430134001  with dealing time: 42.015111684799194
70_out.jpg: NIQE=46.011400193587924  with dealing time: 40.5170955657959
71_out.jpg: NIQE=45.43986180122566  with dealing time: 41.1661651134491
72_out.jpg: NIQE=42.74475026343  with dealing time: 42.67617702484131
73_out.jpg: NIQE=44.029305606607025  with dealing time: 41.99010229110718
74_out.jpg: NIQE=45.64892586799552  with dealing time: 42.137516498565674
75_out.jpg: NIQE=44.97591695830868  with dealing time: 40.432377576828
76_out.jpg: NIQE=42.93242075120438  with dealing time: 43.541478395462036
77_out.jpg: NIQE=42.65253463420234  with dealing time: 42.6453595161438
78_out.jpg: NIQE=42.64376356021392  with dealing time: 41.30970644950867
79_out.jpg: NIQE=42.815735732800164  with dealing time: 40.172528982162476
7_out.jpg: NIQE=43.29943166325608  with dealing time: 42.42593550682068
80_out.jpg: NIQE=45.090113459041184  with dealing time: 40.901325941085815
81_out.jpg: NIQE=44.20786928064232  with dealing time: 41.748645067214966
82_out.jpg: NIQE=44.6584676514423  with dealing time: 41.01405477523804
83_out.jpg: NIQE=49.94593701815896  with dealing time: 43.682432651519775
84_out.jpg: NIQE=43.7082084568325  with dealing time: 43.22636556625366
85_out.jpg: NIQE=43.725489193078424  with dealing time: 42.28512787818909
