104_img_: PSNR=12.283307153947742 SSIM=0.7006436301398897 UIQM=0.9369119654384299 UCIQE=0.5955587724495819
747_img_: PSNR=14.625405843780744 SSIM=0.21954068472558366 UIQM=0.6908648985024086 UCIQE=0.614462408779878
7_img_: PSNR=10.073148353204255 SSIM=0.34475312039626593 UIQM=1.1985932233383763 UCIQE=0.6822714182030469
849_img_: PSNR=18.149497419468098 SSIM=0.6689131447182792 UIQM=1.4221666679093272 UCIQE=0.7253775084863677
856_img_: PSNR=12.131704137000712 SSIM=0.5927913146972612 UIQM=1.3994755448582346 UCIQE=0.7019779273037088
8_img_: PSNR=15.193588320920128 SSIM=0.7777330196316293 UIQM=0.7762255319110989 UCIQE=0.5225850767878755
901_img_: PSNR=8.485112955622277 SSIM=0.5688671683374422 UIQM=0.7651279249807271 UCIQE=0.5865016489029661
906_img_: PSNR=13.471366718796698 SSIM=0.5645310690329803 UIQM=0.18367867789148856 UCIQE=0.5923418886472398
97_img_: PSNR=7.826528805863609 SSIM=0.47693143258295734 UIQM=1.4547828587976475 UCIQE=0.5439669691526143
9_img_: PSNR=11.153213011316822 SSIM=0.5015050200006749 UIQM=0.9423274016654912 UCIQE=0.6730633064277727

Average: PSNR=13.806952904488492 SSIM=0.542374084884301 UIQM=1.036430827014694 UCIQE=0.6612009768492854

