E_551.jpg: NIQE=47.39365718341155  with dealing time: 47.56113386154175
E_592.jpg: NIQE=44.71345122855562  with dealing time: 47.97018885612488
E_606.jpg: NIQE=56.29732348919452  with dealing time: 54.13932704925537
E_628.jpg: NIQE=39.5790920898833  with dealing time: 47.50622487068176
E_649.jpg: NIQE=50.76303552833067  with dealing time: 44.0089910030365
E_663.jpg: NIQE=51.60039551509913  with dealing time: 46.08962845802307
E_690.jpg: NIQE=56.17226896418872  with dealing time: 47.89524984359741
E_704.jpg: NIQE=66.18003240850139  with dealing time: 44.03352475166321
E_726.jpg: NIQE=43.10948734741661  with dealing time: 49.78121566772461

150 Image Average: NIQE=43.61699612194867, TimePerImage=57.54791599273682, SumTime = 8632.187398910522s

